anchor_date,anchor_raw,neighbor_idx,neighbor_raw_anchor,neighbor_date,lag_days,dist_embedding,kappa,total_weight,pi_neighbor_regime_0,W_regime_0,pi_neighbor_regime_1,W_regime_1,pi_neighbor_regime_2,W_regime_2,pi_neighbor_regime_3,W_regime_3
2020-03-09,3195,0,1822,2014-09-23,1994,20.578817696156904,0.18357380817519872,4.490550893322464e-12,0.9999999999969997,0.2151049538722022,9.999999999969996e-13,0.18357380817464794,9.999999999969996e-13,1.2523374798637229e-12,9.999999999969996e-13,0.18357380817464794
2020-03-09,3195,1,2779,2018-07-12,606,21.06157431357619,0.14420537550871157,3.5275270707165804e-12,0.9999999999969997,0.16897449018065194,9.999999999969996e-13,0.1442053755082789,9.999999999969996e-13,9.83766684052373e-13,9.999999999969996e-13,0.1442053755082789
2020-03-09,3195,2,2614,2017-11-13,847,21.168318645924042,0.13671060729240742,3.3441913408348466e-12,0.9999999999969997,0.16019239981887037,9.999999999969996e-13,0.13671060729199724,9.999999999969996e-13,9.326374993747239e-13,9.999999999969996e-13,0.13671060729199724
2020-03-09,3195,3,1342,2012-10-23,2694,21.253680112930194,0.13099846461357947,3.2044618899715964e-12,0.9999999999969997,0.15349912369383586,9.999999999969996e-13,0.13099846461318643,9.999999999969996e-13,8.936693565980691e-13,9.999999999969996e-13,0.13099846461318643
2020-03-09,3195,4,1393,2013-01-09,2616,22.406025841377637,0.0736270686287167,0.5022826431033182,1.7815540776892429e-12,1.537008306213138e-13,9.99999999998009e-13,0.0736270686285701,0.9999999999962184,0.5022826431108796,9.99999999998009e-13,0.0736270686285701
2020-03-09,3195,5,640,2010-01-12,3709,22.42438588318735,0.07295426350700623,0.4976927777033837,9.999999999969998e-13,8.548508985267759e-14,9.999999999969998e-13,0.07295426350678737,0.999999999997,0.49769277771087606,9.999999999969998e-13,0.07295426350678737
2020-03-09,3195,6,1324,2012-09-27,2720,22.55425762858638,0.06836745072656207,2.457914232587013e-05,0.999947300478463,0.08010621162468679,9.999999999980078e-13,0.06836745072642587,5.269951953698261e-05,2.457914112031251e-05,9.999999999980078e-13,0.06836745072642587
2020-03-09,3195,7,2653,2018-01-10,789,22.62878240980859,0.06586679560346596,1.611222215073014e-12,0.9999999999969997,0.07718025883339215,9.999999999969996e-13,0.06586679560326834,9.999999999969996e-13,4.4934218902306224e-13,9.999999999969996e-13,0.06586679560326834
2020-03-09,3195,8,2572,2017-09-14,907,22.701579346778317,0.06351245228825467,1.5536306741968782e-12,0.9999999999969997,0.07442152699004265,9.999999999969996e-13,0.06351245228806411,9.999999999969996e-13,4.3328089790852695e-13,9.999999999969996e-13,0.06351245228806411
2020-03-09,3195,9,3025,2019-07-05,248,22.809247761303407,0.0601837136560972,3.3240675435639395e-11,0.9999999999196238,0.07052103498607887,9.99999999998011e-13,0.060183713655977494,7.837607223432461e-11,3.2179044091455095e-11,9.99999999998011e-13,0.060183713655977494
