tag,method,var_regret,gmvp_var,cond_stein,n
stage_d_D5_pca8_hmm3,D5_pca8_hmm3,0.0011371316082030894,0.0011414243198409459,10974653.928198671,202
stage_d_D0_pca8,D0_pca8,0.0011607022477904355,0.001164994959428292,11436415.892386947,202
stage_d_D2_pca8_hmm3,D2_pca8_hmm3,0.0023754089289666526,0.002379701640604509,2621238.8237285446,202
stage_d_D0_market,D0_market,0.004888659662234168,0.004892952373872024,7021219.064993509,202
stage_d_D2_market_fcm3,D2_market_fcm3,0.004911230172354672,0.0049155228839925305,7009514.066023725,202
