reference,metric,baseline,n_pairs,median_advantage,wilcoxon_p,sig
model,fro,shrink,662,-0.00040879649248489955,1.2003275438458476e-05,***
model,fro,roll,662,0.00016948179956029989,0.018634899744552604,**
model,fro,pers,662,0.0011970185991359485,7.05727922039576e-18,***
model,stein,shrink,662,-125.03726593643563,3.971003164941636e-82,***
model,stein,roll,662,912545.1410271794,4.5495979914896506e-110,***
model,stein,pers,662,1823714.4384148754,4.5495979914896506e-110,***
model,kl,shrink,662,-62.51863296806374,3.971003164941636e-82,***
model,kl,roll,662,456272.5705125409,4.5495979914896506e-110,***
model,kl,pers,662,911857.2192076177,4.5495979914896506e-110,***
model,gmvp_sharpe,shrink,369,0.12260356490593294,0.000479738510912729,***
model,gmvp_sharpe,roll,369,0.15708684801302963,0.0002497431772834271,***
model,gmvp_sharpe,pers,369,0.06171001542884502,0.05233247854323391,*
model,gmvp_var,shrink,369,-2.5758955632753546e-06,4.339533805354975e-15,***
model,gmvp_var,roll,369,-3.419835591121383e-06,7.410594019081512e-22,***
model,gmvp_var,pers,369,-1.1184591802064297e-06,4.5891743386044655e-05,***
model,turnover_l1,shrink,661,-0.25056901492906347,2.2048053537000344e-78,***
model,turnover_l1,roll,661,-0.19915884135306633,1.2250431867375106e-48,***
model,turnover_l1,pers,661,0.010828598868319217,0.38168052723087076,
