mix_lambda,w_model,w_shrink,w_pers,mix_gmvp_sharpe_mean,mix_gmvp_var_mean
1.0,,,,1.5734983526593114,9.88179588859328e-05
0.9,,,,1.5409261380247676,9.691772930709897e-05
0.8,,,,1.5083984291618298,9.548235958788813e-05
0.7,,,,1.4756536131957152,9.4356747223024e-05
0.6,,,,1.4425353936410112,9.346189957050224e-05
0.5,,,,1.4084692781565522,9.275322722319691e-05
0.4,,,,1.3723183597440176,9.220470957375113e-05
0.3,,,,1.3321322111710425,9.180210805853526e-05
0.2,,,,1.2843838082261116,9.154032744859795e-05
0.1,,,,1.2216985682495118,9.142372150864987e-05
0.0,,,,1.1247950777223126,9.147088893742117e-05
